Date/Time,ESTE:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),ESTE:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),NORTE:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),NORTE:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),OESTE:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),OESTE:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),SUR:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),SUR:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),PISO:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),PISO:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),TECHO:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep) 
 01/01  13:50:00,5.556900893845068,-21.06155504976323,-20.023662603588947,-59.14546334793181,-16.654074546236417,-173.92789367429715,39.692242531667947,-190.03915824107163,-28.091071654456984,0.0,23.61220918572417,-157.12719742459286 
 01/01  14:00:00,4.005540590356759,-21.07131391600751,-20.502374516699093,-57.50396365143797,-15.86801814959017,-179.39214316239669,41.00605503208908,-175.74324627841316,-29.14001379770184,0.0,24.612441540297824,-141.15512055652926 
 01/01  14:10:00,2.506738247845078,-20.33214749730041,-20.991776775012569,-55.09037446914476,-14.905315920684643,-182.96525944695396,42.17000835317822,-162.21759960283226,-30.143946787562073,0.0,25.449687173107578,-126.32943821781828 
 01/01  14:20:00,1.0826082448379567,-17.662060704068155,-21.475202816501679,-50.83030362307704,-13.777679017304309,-182.08684095801847,43.16146310347722,-145.2546083226548,-31.087789370983275,0.0,26.108918133096723,-112.03525687088177 
 01/01  14:30:00,-0.24828697014027058,-16.81639639850755,-21.941835148894826,-48.47243591068195,-12.503811520173258,-183.7247738646115,43.967102237721977,-133.42523993787155,-31.95806637995156,0.0,26.5876716490302,-98.2601303401666 
 01/01  14:40:00,-1.4337794261064119,-13.772279752765371,-22.387172752349217,-43.98702928875673,-11.10664495637866,-191.01995784421934,44.57931330401243,-130.75391856922807,-32.74531270969851,0.0,26.889811456973804,-91.02190712060883 
 01/01  14:50:00,-2.615019203558404,-12.765234004501054,-22.810310516488245,-41.603785387396559,-9.597260838077546,-202.32233937739557,45.018331884373768,-132.1324101077439,-33.446942346019799,0.0,27.026535527450507,-82.81166292532953 
 01/01  15:00:00,-3.7904753287994028,-4.347770814919841,-23.201078099080179,-36.849478631138257,-7.959693474978849,-208.84645095976067,45.349066911892808,-128.03750486121317,-34.05659947881736,0.0,27.02545988653992,-73.84691139550842 
 01/01  15:10:00,-4.950760934913433,-5.09354211601385,-23.569595317343557,-31.145811960164794,-6.191721720792884,-212.7467825497979,45.612331114108659,-120.58623927598,-34.58280555153715,0.0,26.898522666157534,-61.54229293150411 
 01/01  15:20:00,-6.102943780925216,-0.34634844672882539,-23.935258675256138,-25.41713372499862,-4.309106616819008,-216.06966322928475,45.81614238256225,-112.82166319632916,-35.03592582025203,0.0,26.645876395390134,-48.904438435807609 
 01/01  15:30:00,-7.244422996476715,4.433298403830577,-24.311289137825044,-19.628236356567414,-2.334632453825634,-218.68495448056866,45.956544397550718,-104.666738172637,-35.41929400454842,0.0,26.263685449220703,-35.87865608650736 
 01/01  15:40:00,-8.370870765557357,5.652382577498884,-24.698935286955476,-17.417796134847323,-0.29607564377738529,-203.75766271193744,46.03266502208817,-82.97085578705492,-35.72818088065128,0.0,25.751313398551248,-15.107719893074773 
 01/01  15:50:00,-9.46721202563458,6.875489956680667,-25.082227514321859,-15.23170717407902,1.7343686935000733,-188.35140636245024,46.03303811570959,-63.123935899948268,-35.9491864073002,0.0,25.106563372025904,3.332865846320601 
 01/01  16:00:00,-10.498644021920427,8.05338392306885,-25.423361716538694,-11.136419196720454,3.786781361137855,-172.05673003588528,45.93508554038408,-44.58159145979744,-36.05737345589455,0.0,24.32912557711188,19.777703864394426 
 01/01  16:10:00,-11.430111826406119,12.80173470331465,-25.68842821803264,-7.438125258141099,6.108132393188498,-152.56903880431265,45.71836961592453,-25.48262948806814,-36.029432596644259,0.0,23.42641472675632,33.469840761704748 
 01/01  16:20:00,-12.277016473344702,14.80940666804554,-25.900940565332804,-4.37126578026664,8.37483967614844,-137.99822091282705,45.32062530958501,-12.003460830163931,-35.88257706071522,0.0,22.384829751130384,45.674284651298879 
 01/01  16:30:00,-13.03811341058281,16.795608301134508,-26.05502039562043,-1.40374783886773,10.552004155456416,-122.66073227626839,44.73684478248151,0.8443336376740263,-35.61416279007358,0.0,21.221614883564145,56.3860615652643 
 01/01  16:40:00,-13.700016245024927,23.59287949472673,-26.131801626422658,6.321407336708944,12.618044710237428,-85.41920009554088,43.99689822323489,27.78756696872324,-35.215007833355,0.0,19.96514463235735,78.77768600386662 
 01/01  16:50:00,-14.250305864363782,35.90098464906805,-26.116853917712889,14.61638795870158,14.537447925637025,-37.980983583656328,43.11664763441877,59.06836127816132,-34.671850313120788,0.0,18.63432821555034,97.55401482269099 
 01/01  17:00:00,-14.682641107472591,41.01679466216501,-25.99776441171207,21.164386270535944,16.234431192278863,-2.1751715085342768,42.08175123574529,80.78884340800914,-33.96005310756118,0.0,17.24103023121097,113.21545658038758 
 01/01  17:10:00,-14.992750610261738,46.357619281408009,-25.761717164274616,27.401981200287538,17.62963568393934,35.19231815777812,40.87949378346411,102.223350473771,-33.055580463505297,0.0,15.80367771093097,124.80006589352297 
 01/01  17:20:00,-15.16970846390177,47.12042840421827,-25.398002866556,33.73549024350359,18.67439039447845,83.28462311193698,39.51935036287068,127.7798388682204,-31.945964472853349,0.0,14.346620220127989,133.56384615624303 
 01/01  17:30:00,-15.195366754213865,52.57033569741225,-24.89835898562842,39.67123906278766,19.32695591649508,133.73131689843059,38.014187635561487,152.49320906849563,-30.62639595138853,0.0,12.90237146298432,139.57996957286333 
 01/01  17:40:00,-15.052639833111698,53.67281174778009,-24.257857920280914,41.309739809943497,19.537762133239995,122.84755548463818,36.370152552872699,144.3247254229732,-29.097049920741484,0.0,11.508869181860974,134.3060604600023 
 01/01  17:50:00,-14.751814429088427,54.97717515850445,-23.48865464726441,43.15210359107209,19.32744394845122,112.63853763292855,34.61993477447277,137.15013141679584,-27.38228551272823,0.0,10.195660257320015,130.05786903078298 
